"Nombre","Foto","Posicion","Nacionalidades","Edad","Club","ValorMasAlto","ValorActual","Ultimarevisión"
"Koni De Winter","https://img.a.transfermarkt.technology/portrait/medium/490384-1730126791.jpg?lm=1","Defensa central","Bélgica","23","Génova","18,00 mill. €","18,00 mill. €","25/03/2025"
"Ivan Ilić","https://img.a.transfermarkt.technology/portrait/medium/470794-1716239802.jpg?lm=1","Mediocentro","Serbia","24","Torino FC","19,00 mill. €","18,00 mill. €","18/12/2024"
"Strahinja Pavlović","https://img.a.transfermarkt.technology/portrait/medium/574671-1692998611.png?lm=1","Defensa central","Serbia","24","AC Milan","25,00 mill. €","18,00 mill. €","25/03/2025"
"Jhon Lucumí","https://img.a.transfermarkt.technology/portrait/medium/413565-1663657119.jpg?lm=1","Defensa central","Colombia","26","Bolonia","18,00 mill. €","18,00 mill. €","18/12/2024"
"Mathías Olivera","https://img.a.transfermarkt.technology/portrait/medium/376514-1681910576.jpg?lm=1","Lateral izquierdo","Uruguay, España","27","SSC Nápoles","18,00 mill. €","18,00 mill. €","18/12/2024"
"Gianluca Mancini","https://img.a.transfermarkt.technology/portrait/medium/256448-1663581060.jpg?lm=1","Defensa central","Italia","29","AS Roma","30,00 mill. €","18,00 mill. €","18/12/2024"
"Timothy Weah","https://img.a.transfermarkt.technology/portrait/medium/370846-1692277669.jpg?lm=1","Extremo derecho","Estados Unidos, Francia","25","Juventus de Turín","17,00 mill. €","17,00 mill. €","18/12/2024"
"Mile Svilar","https://img.a.transfermarkt.technology/portrait/medium/338670-1725532174.jpg?lm=1","Portero","Serbia, Bélgica","25","AS Roma","17,00 mill. €","17,00 mill. €","25/03/2025"
"Alexis Saelemaekers","https://img.a.transfermarkt.technology/portrait/medium/381950-1609842664.jpg?lm=1","Extremo derecho","Bélgica","25","AS Roma","20,00 mill. €","17,00 mill. €","25/03/2025"
"Billy Gilmour","https://img.a.transfermarkt.technology/portrait/medium/423744-1701544195.jpg?lm=1","Pivote","Escocia","24","SSC Nápoles","18,00 mill. €","16,00 mill. €","18/12/2024"
"Andrea Pinamonti","https://img.a.transfermarkt.technology/portrait/medium/315865-1692883161.jpg?lm=1","Delantero centro","Italia","26","Génova","20,00 mill. €","16,00 mill. €","18/12/2024"
"Ruben Loftus-Cheek","https://img.a.transfermarkt.technology/portrait/medium/202886-1692879593.jpg?lm=1","Mediocentro","Inglaterra, Guyana","29","AC Milan","30,00 mill. €","16,00 mill. €","25/03/2025"
